日期,赛事名称,角色,IP,CV,得票数,角色（英）,自动晋级,头像
07.12-07.19,恒星组提名-女性组别,后藤独,孤独摇滚！,青山吉能,-,Gotō Hitori,True,https://pic1.imgdb.cn/item/67395de7d29ded1a8c43c21e.png
07.12-07.19,恒星组提名-女性组别,时崎狂三,约会大作战,真田麻美,-,Tokisaki Kurumi,True,https://pic1.imgdb.cn/item/67395e40d29ded1a8c440b34.png
07.12-07.19,恒星组提名-女性组别,八奈见杏菜,败犬女主太多了！,远野光,-,Yanami Anna,True,https://pic1.imgdb.cn/item/69f2d995f97149b1cf360b5b.png
07.12-07.19,恒星组提名-女性组别,芙莉莲,葬送的芙莉莲,种崎敦美,-,Frieren,True,https://pic1.imgdb.cn/item/6785d898d0e0a243d4f411de.png
07.12-07.19,恒星组提名-女性组别,丰川祥子,BanG Dream!,高尾奏音,-,Togawa Sakiko,True,https://pic1.imgdb.cn/item/6785d881d0e0a243d4f411d8.png
07.12-07.19,恒星组提名-女性组别,远坂凛,Fate系列,植田佳奈,-,Tōsaka Rin,True,https://pic1.imgdb.cn/item/673961a9d29ded1a8c46a1f0.png
07.12-07.19,恒星组提名-女性组别,猫猫,药屋少女的呢喃,悠木碧,-,Maomao,True,
07.12-07.19,恒星组提名-女性组别,赫萝,狼与香辛料,小清水亚美,-,Holo,True,
07.12-07.19,恒星组提名-女性组别,伊莉雅丝菲尔·冯·爱因兹贝伦,Fate系列,门胁舞以,-,Illyasviel von Einzbern,True,
07.12-07.19,恒星组提名-女性组别,鸣濑白羽,Summer Pockets,小原好美,-,,True,
07.12-07.19,恒星组提名-女性组别,牧之原翔子,青春猪头少年系列,水濑祈,-,,True,
07.12-07.19,恒星组提名-女性组别,忍野忍,物语系列,坂本真绫,-,Oshino Shinobu,True,
07.12-07.19,恒星组提名-女性组别,玛露西尔,迷宫饭,千本木彩花,-,Marcille Donato,True,
07.12-07.19,恒星组提名-女性组别,绫濑桃,胆大党,若山诗音,-,Ayase Momo,True,
07.12-07.19,恒星组提名-女性组别,楼兰妃,药屋少女的呢喃,,-,,True,
07.12-07.19,恒星组提名-女性组别,阿莉娜·克洛瓦,虽然是公会柜台小姐，但是因为讨厌加班所以要去单挑BOSS,,-,,True,
07.12-07.19,恒星组提名-女性组别,白,NO GAME NO LIFE 游戏人生,茅野爱衣,-,Shiro,True,https://pic1.imgdb.cn/item/67396180d29ded1a8c468667.png
07.12-07.19,恒星组提名-女性组别,樱岛麻衣,青春猪头少年系列,濑户麻沙美,-,,True,https://pic1.imgdb.cn/item/673967ddd29ded1a8c4ad8fb.png
07.12-07.19,恒星组提名-女性组别,长崎爽世,BanG Dream!,小日向美香,-,Nagasaki Soyo,True,https://pic1.imgdb.cn/item/6785d850d0e0a243d4f411cc.png
07.12-07.19,恒星组提名-女性组别,友利奈绪,Charlotte,佐仓绫音,-,Tomori Nao,True,https://pic1.imgdb.cn/item/67396124d29ded1a8c46467d.png
07.12-07.19,恒星组提名-女性组别,安和昴,少女乐队的呐喊,美怜,-,,True,https://pic1.imgdb.cn/item/69f3294af97149b1cf36fc1d.png
07.12-07.19,恒星组提名-女性组别,小鸟游六花,中二病也要谈恋爱！,内田真礼,-,,True,https://pic1.imgdb.cn/item/67357455d29ded1a8c343203.png
07.12-07.19,恒星组提名-女性组别,四宫辉夜,辉夜大小姐想让我告白～天才们的恋爱头脑战～,古贺葵,-,Shinomiya Kaguya,True,https://pic1.imgdb.cn/item/6739b53ed29ded1a8c8aae29.png
07.12-07.19,恒星组提名-女性组别,艾拉,可塑性记忆,雨宫天,-,Isla,True,https://pic1.imgdb.cn/item/673961bad29ded1a8c46ac2a.png
07.12-07.19,恒星组提名-女性组别,亚托莉,ATRI -My Dear Moments-,赤尾光,-,Atri,True,https://pic1.imgdb.cn/item/69f32934f97149b1cf36fb71.png
07.12-07.19,恒星组提名-女性组别,立华奏,Angel Beats!,花泽香菜,-,Tachibana Kanade,True,https://pic1.imgdb.cn/item/673abe88d29ded1a8c43e672.png
07.12-07.19,恒星组提名-女性组别,白井黑子,魔法禁书目录,新井里美,-,Shirai Kuroko,True,https://pic1.imgdb.cn/item/6736eaa2d29ded1a8c5a7413.png
07.12-07.19,恒星组提名-女性组别,若叶睦,BanG Dream!,渡濑结月,-,Wakaba Mutsumi,True,https://pic1.imgdb.cn/item/6785dafad0e0a243d4f41299.png
07.12-07.19,恒星组提名-女性组别,高松灯,BanG Dream!,羊宫妃那,-,Takamatsu Tomori,True,https://pic1.imgdb.cn/item/6785d914d0e0a243d4f41202.png
07.12-07.19,恒星组提名-女性组别,结城明日奈,刀剑神域,户松遥,-,Yūki Asuna,True,https://pic1.imgdb.cn/item/6739616cd29ded1a8c4679d2.png
07.12-07.19,恒星组提名-女性组别,喜多川海梦,更衣人偶坠入爱河,直田姬奈,-,Kitagawa Marin,True,https://pic1.imgdb.cn/item/67418e3fd29ded1a8cd920fd.png
07.12-07.19,恒星组提名-女性组别,要乐奈,BanG Dream!,青木阳菜,-,Kaname Rāna,True,https://pic1.imgdb.cn/item/6785dc5bd0e0a243d4f41319.png
07.12-07.19,恒星组提名-女性组别,井芹仁菜,少女乐队的呐喊,理名,-,,True,
07.12-07.19,恒星组提名-女性组别,爱蜜莉雅,Re:从零开始的异世界生活,高桥李依,-,Emilia,True,https://pic1.imgdb.cn/item/67396195d29ded1a8c469653.png
07.12-07.19,恒星组提名-女性组别,三角初华,BanG Dream!,佐佐木李子,-,,True,
07.12-07.19,恒星组提名-女性组别,小鞠知花,败犬女主太多了！,寺泽百花,-,Komari Chika,True,https://pic1.imgdb.cn/item/69f329bff97149b1cf36fde7.png
07.12-07.19,恒星组提名-女性组别,藤原千花,辉夜大小姐想让我告白～天才们的恋爱头脑战～,小原好美,-,Fujiwara Chika,True,https://pic1.imgdb.cn/item/677fbc90d0e0a243d4f2c8eb.png
07.12-07.19,恒星组提名-女性组别,菲伦,葬送的芙莉莲,市之濑加那,-,Fern,True,https://pic1.imgdb.cn/item/6785d861d0e0a243d4f411ce.png
07.12-07.19,恒星组提名-女性组别,周防有希,不时轻声地以俄语遮羞的邻座艾莉同学,丸冈和佳奈,-,Suō Yuki,True,
07.12-07.19,恒星组提名-女性组别,惠惠,为美好的世界献上祝福！,高桥李依,-,Megumin,True,https://pic1.imgdb.cn/item/67404a34d29ded1a8cd26270.png
07.12-07.19,恒星组提名-女性组别,锦木千束,莉可丽丝,安济知佳,-,Nishikigi Chisato,True,https://pic1.imgdb.cn/item/6742b0d888c538a9b5bb4231.png
07.12-07.19,恒星组提名-女性组别,阿库娅,为美好的世界献上祝福！,雨宫天,-,Aqua,True,https://pic1.imgdb.cn/item/674138f4d29ded1a8c82126e.png
07.12-07.19,恒星组提名-女性组别,唐可可,LoveLive!系列,Liyuu,-,Tang Keke,True,
07.12-07.19,恒星组提名-女性组别,艾莉莎·米哈伊罗夫纳·九条,不时轻声地以俄语遮羞的邻座艾莉同学,上坂堇,-,Alisa Mikhailovna Kujō,True,
07.12-07.19,恒星组提名-女性组别,阿尼亚·福杰,间谍过家家,种崎敦美,-,Anya Forger,True,https://pic1.imgdb.cn/item/677fba37d0e0a243d4f2c800.png
07.12-07.19,恒星组提名-女性组别,柊舞缇娜,憧憬成为魔法少女,和泉风花,-,Hiiragi Utena,True,
07.12-07.19,恒星组提名-女性组别,尤贝尔,葬送的芙莉莲,长谷川育美,-,Übel,True,
07.12-07.19,恒星组提名-女性组别,拉姆,Re:从零开始的异世界生活,村川梨衣,-,,True,
07.12-07.19,恒星组提名-女性组别,和栗薰子,薰香花朵凛然绽放,,-,,True,
07.12-07.19,恒星组提名-女性组别,宵崎奏,世界计划 缤纷舞台！ feat. 初音未来,,-,,True,
07.12-07.19,恒星组提名-女性组别,纯田真奈,BanG Dream!,反田叶月,-,,True,
07.12-07.19,恒星组提名-女性组别,古贺朋绘,青春猪头少年系列,东山奈央,-,,True,
07.12-07.19,恒星组提名-女性组别,托尔,小林家的龙女仆,桑原由气,-,Tōru,True,https://pic1.imgdb.cn/item/6785dc2ed0e0a243d4f412fc.png
07.12-07.19,恒星组提名-女性组别,桃井爱莉,世界计划 缤纷舞台！ feat. 初音未来,,-,,True,
07.12-07.19,恒星组提名-女性组别,莫妮卡·艾瓦雷特,Silent Witch 沉默魔女的秘密,,-,,True,
07.12-07.19,恒星组提名-女性组别,优木雪菜,LoveLive!系列,林鼓子,-,Yūki Setsuna,True,
07.12-07.19,恒星组提名-女性组别,小栗帽,赛马娘 Pretty Derby,高柳知叶,-,,True,
