日期,赛事名称,角色,IP,CV,得票数,角色（英）,自动晋级,头像
07.12-07.19,恒星组提名-男性组别,空,NO GAME NO LIFE 游戏人生,,-,,True,
07.12-07.19,恒星组提名-男性组别,立花泷,你的名字。,神木隆之介,-,Tachibana Taki,True,
07.12-07.19,恒星组提名-男性组别,里克·多拉,NO GAME NO LIFE 游戏人生,松冈祯丞,-,Riku Dola,True,
07.12-07.19,恒星组提名-男性组别,乙坂有宇,Charlotte,内山昂辉,-,Otosaka Yū,True,
07.12-07.19,恒星组提名-男性组别,利威尔·阿克曼,进击的巨人,神谷浩史,-,Levi,True,
07.12-07.19,恒星组提名-男性组别,五条悟,咒术回战,中村悠一,-,Gojō Satoru,True,
07.12-07.19,恒星组提名-男性组别,莱欧斯,迷宫饭,熊谷健太郎,-,,True,
07.12-07.19,恒星组提名-男性组别,晓山瑞希,世界计划 缤纷舞台！ feat. 初音未来,,-,,True,
07.12-07.19,恒星组提名-男性组别,莱因哈鲁特·范·阿斯特雷亚,Re:从零开始的异世界生活,,-,,True,
07.12-07.19,恒星组提名-男性组别,法夫纳,小林家的龙女仆,,-,,True,
07.12-07.19,恒星组提名-男性组别,䌷凛太郎,薰香花朵凛然绽放,,-,,True,
07.12-07.19,恒星组提名-男性组别,水篠旬,我独自升级,坂泰斗,-,,True,
07.12-07.19,恒星组提名-男性组别,灵幻新隆,路人超能100,樱井孝宏,-,Reigen Arataka,True,
07.12-07.19,恒星组提名-男性组别,洁世一,蓝色监狱,,-,,True,
07.12-07.19,恒星组提名-男性组别,奥斯卡,Unnamed Memory,中岛良树,-,,True,
07.12-07.19,恒星组提名-男性组别,奥斯瓦尔德·帕纳科塔,圣女因太过完美不够可爱而被废除婚约并卖到邻国,,-,,True,
07.12-07.19,恒星组提名-男性组别,石上优,辉夜大小姐想让我告白～天才们的恋爱头脑战～,铃木崚汰,-,Ishigami Yū,True,
07.12-07.19,恒星组提名-男性组别,水柿司,可塑性记忆,内匠靖明,-,Mizugaki Tsukasa,True,
07.12-07.19,恒星组提名-男性组别,温水和彦,败犬女主太多了！,梅田修一朗,-,,True,
07.12-07.19,恒星组提名-男性组别,桐谷和人,刀剑神域,松冈祯丞,-,Kirigaya Kazuto,True,
07.12-07.19,恒星组提名-男性组别,空条承太郎,JoJo的奇妙冒险,小野大辅,-,Kūjō Jōtarō,True,
07.12-07.19,恒星组提名-男性组别,基尔伯特·布甘比利亚,紫罗兰永恒花园,浪川大辅,-,Gilbert Bougainvillea,True,
07.12-07.19,恒星组提名-男性组别,大路饼藏,玉子市场,田丸笃志,-,Ōji Mochizō,True,
07.12-07.19,恒星组提名-男性组别,夜神月,死亡笔记,宫野真守,-,Yagami Light,True,
07.12-07.19,恒星组提名-男性组别,一方通行,魔法禁书目录,冈本信彦,-,Accelerator,True,
07.12-07.19,恒星组提名-男性组别,休塔尔克,葬送的芙莉莲,小林千晃,-,Stark,True,
07.12-07.19,恒星组提名-男性组别,上条当麻,魔法禁书目录,阿部敦,-,Kamijō Tōma,True,
07.12-07.19,恒星组提名-男性组别,菜月昴,Re:从零开始的异世界生活,小林裕介,-,Natsuki Subaru,True,
07.12-07.19,恒星组提名-男性组别,卫宫,Fate系列,诹访部顺一,-,Archer,True,
07.12-07.19,恒星组提名-男性组别,佐藤和真,为美好的世界献上祝福！,福岛润,-,Satō Kazuma,True,
07.12-07.19,恒星组提名-男性组别,宫村伊澄,堀与宫村,内山昂辉,-,Miyamura Izumi,True,
07.12-07.19,恒星组提名-男性组别,坂田银时,银魂,杉田智和,-,Sakata Gintoki,True,
07.12-07.19,恒星组提名-男性组别,藤宫周,关于我在无意间被隔壁的天使变成废柴这件事,坂泰斗,-,,True,
07.12-07.19,恒星组提名-男性组别,劳埃德·福杰,间谍过家家,江口拓也,-,Loid Forger,True,
07.12-07.19,恒星组提名-男性组别,旗木卡卡西,火影忍者,井上和彦,-,Hatake Kakashi,True,
07.12-07.19,恒星组提名-男性组别,艾伦·耶格尔,进击的巨人,梶裕贵,-,Eren Yeager,True,
07.12-07.19,恒星组提名-男性组别,漩涡鸣人,火影忍者,竹内顺子,-,Uzumaki Naruto,True,
07.12-07.19,恒星组提名-男性组别,高须龙儿,龙与虎,间岛淳司,-,Takasu Ryūji,True,
07.12-07.19,恒星组提名-男性组别,星野爱久爱海,【我推的孩子】,大冢刚央,-,Hoshino Aquamarine,True,
07.12-07.19,恒星组提名-男性组别,库·丘林,Fate系列,神奈延年,-,Lancer,True,
07.12-07.19,恒星组提名-男性组别,蒙奇·D·路飞,海贼王,田中真弓,-,Monkey D. Luffy,True,
07.12-07.19,恒星组提名-男性组别,太宰治,文豪野犬,宫野真守,-,Dazai Osamu,True,
07.12-07.19,恒星组提名-男性组别,镜音连,世界计划 缤纷舞台！ feat. 初音未来,,-,,True,
07.12-07.19,恒星组提名-男性组别,夏泽朔,薰香花朵凛然绽放,,-,,True,
07.12-07.19,恒星组提名-男性组别,始皇帝,终末的女武神,,-,,True,
07.12-07.19,恒星组提名-男性组别,鹰原羽依里,Summer Pockets,,-,,True,
07.12-07.19,恒星组提名-男性组别,野原广志,蜡笔小新,,-,,True,
07.12-07.19,恒星组提名-男性组别,天马司,世界计划 缤纷舞台！ feat. 初音未来,,-,,True,
07.12-07.19,恒星组提名-男性组别,菲利克斯·阿克·里迪尔,Silent Witch 沉默魔女的秘密,,-,,True,
07.12-07.19,恒星组提名-男性组别,杰诺斯,一拳超人,,-,,True,
07.12-07.19,恒星组提名-男性组别,千岁朔,弹珠汽水瓶里的千岁同学,,-,,True,
07.12-07.19,恒星组提名-男性组别,来堂章太,测不准的阿波连同学,,-,,True,
07.12-07.19,恒星组提名-男性组别,KING,一拳超人,,-,,True,
07.12-07.19,恒星组提名-男性组别,鲁邦三世,鲁邦三世,栗田贯一,-,Arsène Lupin III,True,
07.12-07.19,恒星组提名-男性组别,爱城恋太郎,超超超超超喜欢你的100个女朋友,加藤涉,-,Aijō Rentarō,True,
07.12-07.19,恒星组提名-男性组别,明浦路司,金牌得主,,-,,True,
07.12-07.19,恒星组提名-男性组别,乙木守仁,魔女与使魔,,-,,True,
07.12-07.19,恒星组提名-男性组别,比企谷八幡,我的青春恋爱物语果然有问题。,,-,,True,
07.12-07.19,恒星组提名-男性组别,阿良良木历,物语系列,神谷浩史,-,Araragi Koyomi,True,
07.12-07.19,恒星组提名-男性组别,克拉福·罗伦斯,狼与香辛料,福山润,-,,True,
07.12-07.19,恒星组提名-男性组别,奇犽·揍敌客,HUNTER×HUNTER,伊濑茉莉也,-,Killua Zoldyck,True,
07.12-07.19,恒星组提名-男性组别,虎杖悠仁,咒术回战,,-,,True,
07.12-07.19,恒星组提名-男性组别,韦伯·维尔维特,Fate系列,,-,,True,
07.12-07.19,恒星组提名-男性组别,拉法尔,地。-关于地球的运动-,坂本真绫,-,,True,
07.12-07.19,恒星组提名-男性组别,高仓健,胆大党,花江夏树,-,,True,
07.12-07.19,恒星组提名-男性组别,北原伊织,碧蓝之海,内田雄马,27,Kitahara Iori,False,
07.12-07.19,恒星组提名-男性组别,辛耶·诺赞,86 -不存在的战区-,千叶翔也,26,Shinei Nouzen,False,
07.12-07.19,恒星组提名-男性组别,卫宫切嗣,Fate系列,小山力也,26,Emiya Kiritsugu,False,
07.12-07.19,恒星组提名-男性组别,神田空太,樱花庄的宠物女孩,松冈祯丞,26,Kanda Sorata,False,
07.12-07.19,恒星组提名-男性组别,夜斗,野良神,神谷浩史,25,Yato,False,
07.12-07.19,恒星组提名-男性组别,孙悟空,龙珠,野泽雅子,25,Son Goku,False,
07.12-07.19,恒星组提名-男性组别,宇智波带土,火影忍者,潘惠美,24,Uchiha Obito,False,
07.12-07.19,恒星组提名-男性组别,江户川柯南,名侦探柯南,高山南,23,Edogawa Conan,False,
07.12-07.19,恒星组提名-男性组别,木下秀吉,笨蛋、测验、召唤兽,加藤英美里,23,Kinoshita Hideyoshi,False,
07.12-07.19,恒星组提名-男性组别,李小狼,魔卡少女樱,熊井统子,23,Li Syaoran,False,
07.12-07.19,恒星组提名-男性组别,伏黑惠,咒术回战,,23,,False,
07.12-07.19,恒星组提名-男性组别,乔鲁诺·乔巴拿,JoJo的奇妙冒险,小野贤章,21,Giorno Giovanna,False,
07.12-07.19,恒星组提名-男性组别,我妻善逸,鬼灭之刃,下野纮,21,Agatsuma Zenitsu,False,
07.12-07.19,恒星组提名-男性组别,齐木楠雄,齐木楠雄的灾难,神谷浩史,21,Saiki Kusuo,False,
07.12-07.19,恒星组提名-男性组别,东方仗助,JoJo的奇妙冒险,,20,,False,
07.12-07.19,恒星组提名-男性组别,和泉正宗,埃罗芒阿老师,松冈祯丞,19,Izumi Masamune,False,
07.12-07.19,恒星组提名-男性组别,黑羽快斗,魔术快斗,山口胜平,19,Kuroba Kaito,False,
07.12-07.19,恒星组提名-男性组别,杀老师,暗杀教室,,19,,False,
07.12-07.19,恒星组提名-男性组别,安昙小太郎,月色真美,千叶翔也,19,Azumi Kotarō,False,
