组别,组内排名,全局排名,角色,头像,IP,CV,得票数,状态
女子9组,1,5,伊地知虹夏,https://pic1.imgdb.cn/item/673abde9d29ded1a8c437a20.png,孤独摇滚！,铃代纱弓,1729,晋级
女子9组,2,8,鹿目圆,https://pic1.imgdb.cn/item/6735f305d29ded1a8cade1ab.png,魔法少女小圆,悠木碧,1600,晋级
女子9组,3,12,亚托莉,https://pic1.imgdb.cn/item/69f32934f97149b1cf36fb71.png,ATRI -My Dear Moments-,赤尾光,1500,未晋级
女子9组,4,28,约尔·福杰,https://pic1.imgdb.cn/item/677fbeb6d0e0a243d4f2c994.png,间谍过家家,早见沙织,1097,未晋级
女子9组,5,31,惠惠,https://pic1.imgdb.cn/item/67404a34d29ded1a8cd26270.png,为美好的世界献上祝福！,高桥李依,1073,未晋级
女子9组,6,34,古河渚,https://pic1.imgdb.cn/item/67419468d29ded1a8cddcff0.png,CLANNAD,中原麻衣,1038,未晋级
女子9组,7,54,双叶理央,https://pic1.imgdb.cn/item/6785d958d0e0a243d4f41226.png,青春猪头少年系列,种崎敦美,754,未晋级
女子9组,8,55,小栗帽,,赛马娘 Pretty Derby,高柳知叶,721,未晋级
女子10组,1,4,喜多郁代,https://pic1.imgdb.cn/item/6739682ad29ded1a8c4b0962.png,孤独摇滚！,长谷川育美,1747,晋级
女子10组,2,6,立华奏,https://pic1.imgdb.cn/item/673abe88d29ded1a8c43e672.png,Angel Beats!,花泽香菜,1725,晋级
女子10组,3,42,和泉纱雾,https://pic1.imgdb.cn/item/6739684cd29ded1a8c4b1e5e.png,埃罗芒阿老师,藤田茜,919,未晋级
女子10组,4,48,中野四叶,,五等分的新娘,佐仓绫音,843,未晋级
女子10组,5,50,周防有希,,不时轻声地以俄语遮羞的邻座艾莉同学,丸冈和佳奈,817,未晋级
女子10组,6,59,甘织遥奈,,我们不可能成为恋人！绝对不行。 (※似乎可行？),,541,未晋级
女子10组,7,60,伊原摩耶花,,冰菓,茅野爱衣,501,未晋级
女子10组,8,63,鹿野千夏,,青之箱,上田丽奈,302,未晋级
女子11组,1,7,平泽唯,https://pic1.imgdb.cn/item/67395e01d29ded1a8c43d7cf.png,轻音少女,丰崎爱生,1603,晋级
女子11组,2,19,白井黑子,https://pic1.imgdb.cn/item/6736eaa2d29ded1a8c5a7413.png,魔法禁书目录,新井里美,1228,晋级
女子11组,3,20,菲伦,https://pic1.imgdb.cn/item/6785d861d0e0a243d4f411ce.png,葬送的芙莉莲,市之濑加那,1195,未晋级
女子11组,4,24,伊地知星歌,,孤独摇滚！,内田真礼,1146,未晋级
女子11组,5,25,田井中律,https://pic1.imgdb.cn/item/673b3c52d29ded1a8cb70e5b.png,轻音少女,佐藤聪美,1129,未晋级
女子11组,6,37,宫园薰,https://pic1.imgdb.cn/item/6742b49688c538a9b5bb432f.png,四月是你的谎言,种田梨沙,1003,未晋级
女子11组,7,43,空门苍,,Summer Pockets,,914,未晋级
女子11组,8,46,堀京子,https://pic1.imgdb.cn/item/677fbcd5d0e0a243d4f2c905.png,堀与宫村,户松遥,863,未晋级
女子12组,1,9,千反田爱瑠,https://pic1.imgdb.cn/item/678b5cd0d0e0a243d4f5699f.png,冰菓,佐藤聪美,1560,晋级
女子12组,2,10,若叶睦,https://pic1.imgdb.cn/item/6785dafad0e0a243d4f41299.png,BanG Dream!,渡濑结月,1550,晋级
女子12组,3,15,中野三玖,https://pic1.imgdb.cn/item/6739613ed29ded1a8c465c2c.png,五等分的新娘,伊藤美来,1306,未晋级
女子12组,4,16,结束祈,,金牌得主,,1279,未晋级
女子12组,5,22,春日野穹,https://pic1.imgdb.cn/item/673aa700d29ded1a8c30cdf0.png,缘之空,田口宏子,1183,未晋级
女子12组,6,33,藤原千花,https://pic1.imgdb.cn/item/677fbc90d0e0a243d4f2c8eb.png,辉夜大小姐想让我告白～天才们的恋爱头脑战～,小原好美,1056,未晋级
女子12组,7,45,芙拉蒂蕾娜·米利杰,https://pic1.imgdb.cn/item/67396158d29ded1a8c466c38.png,86 -不存在的战区-,长谷川育美,871,未晋级
女子12组,8,57,保科昴,,薰香花朵凛然绽放,,615,未晋级
女子13组,1,1,雷姆,,Re:从零开始的异世界生活,水濑祈,2758,晋级
女子13组,2,35,高松灯,https://pic1.imgdb.cn/item/6785d914d0e0a243d4f41202.png,BanG Dream!,羊宫妃那,1025,晋级
女子13组,3,44,琴吹䌷,https://pic1.imgdb.cn/item/6739b369d29ded1a8c895375.png,轻音少女,寿美菜子,903,未晋级
女子13组,4,49,绪山真寻,https://pic1.imgdb.cn/item/6785d8f9d0e0a243d4f411f4.png,别当欧尼酱了！,高野麻里佳,828,未晋级
女子13组,5,51,小鞠知花,https://pic1.imgdb.cn/item/69f329bff97149b1cf36fde7.png,败犬女主太多了！,寺泽百花,815,未晋级
女子13组,6,53,由崎司,https://pic1.imgdb.cn/item/6741ad7bd29ded1a8cf60d88.png,总之就是非常可爱,鬼头明里,768,未晋级
女子13组,7,56,间桐樱,,Fate系列,下屋则子,638,未晋级
女子13组,8,64,柊夕湖,,弹珠汽水瓶里的千岁同学,,287,未晋级
女子14组,1,2,加藤惠,,路人女主的养成方法,安野希世乃,2188,晋级
女子14组,2,23,三角初华,,BanG Dream!,佐佐木李子,1174,晋级
女子14组,3,26,结城明日奈,https://pic1.imgdb.cn/item/6739616cd29ded1a8c4679d2.png,刀剑神域,户松遥,1110,未晋级
女子14组,4,27,椎名真昼,https://pic1.imgdb.cn/item/6785d8d6d0e0a243d4f411eb.png,关于我在无意间被隔壁的天使变成废柴这件事,石见舞菜香,1098,未晋级
女子14组,5,30,宫水三叶,https://pic1.imgdb.cn/item/67395e68d29ded1a8c4429ed.png,你的名字。,上白石萌音,1093,未晋级
女子14组,6,38,晓美焰,https://pic1.imgdb.cn/item/674086b0d29ded1a8c07b0d0.png,魔法少女小圆,斋藤千和,991,未晋级
女子14组,7,52,洛琪希·米格路迪亚,https://pic1.imgdb.cn/item/673be698d29ded1a8c2b0709.png,无职转生,小原好美,802,未晋级
女子14组,8,61,甘织玲奈子,,我们不可能成为恋人！绝对不行。 (※似乎可行？),,475,未晋级
女子15组,1,3,爱蜜莉雅,https://pic1.imgdb.cn/item/67396195d29ded1a8c469653.png,Re:从零开始的异世界生活,高桥李依,2186,晋级
女子15组,2,14,秋山澪,https://pic1.imgdb.cn/item/673967f2d29ded1a8c4ae5a2.png,轻音少女,日笠阳子,1382,晋级
