组别,组内排名,全局排名,角色,头像,IP,CV,得票数,状态
男子9组,1,9,小智,,宝可梦,松本梨香,1168,晋级
男子9组,2,10,杀老师,,暗杀教室,福山润,1133,晋级
男子9组,3,11,一方通行,,魔法禁书目录,冈本信彦,1124,未晋级
男子9组,4,27,五河士道,,约会大作战,岛崎信长,942,未晋级
男子9组,5,35,卫宫切嗣,,Fate系列,小山力也,877,未晋级
男子9组,6,47,库·丘林,,Fate系列,神奈延年,719,未晋级
男子9组,7,51,维吉尔,,鬼泣系列,,696,未晋级
男子9组,8,64,乙木守仁,,魔女与使魔,,391,未晋级
男子10组,1,2,比企谷八幡,,我的青春恋爱物语果然有问题。,江口拓也,1537,晋级
男子10组,2,6,宇智波佐助,,火影忍者,杉山纪彰,1226,晋级
男子10组,3,24,石神千空,,Dr.STONE 石纪元,小林裕介,987,未晋级
男子10组,4,30,休塔尔克,,葬送的芙莉莲,小林千晃,902,未晋级
男子10组,5,41,黑羽快斗,,魔术快斗,山口胜平,842,未晋级
男子10组,6,54,星野爱久爱海,,【我推的孩子】,大冢刚央,638,未晋级
男子10组,7,59,神田空太,,樱花庄的宠物女孩,松冈祯丞,523,未晋级
男子10组,8,60,阿虚,,凉宫春日的忧郁,杉田智和,481,未晋级
男子11组,1,20,上条当麻,,魔法禁书目录,阿部敦,1023,晋级
男子11组,2,29,有马公生,,四月是你的谎言,花江夏树,911,晋级
男子11组,3,31,冈部伦太郎,,命运石之门,宫野真守,896,未晋级
男子11组,4,32,夜斗,,野良神,神谷浩史,895,未晋级
男子11组,5,38,樱木花道,,灌篮高手,,855,未晋级
男子11组,6,49,高须龙儿,,龙与虎,间岛淳司,705,未晋级
男子11组,7,52,和泉正宗,,埃罗芒阿老师,松冈祯丞,669,未晋级
男子11组,8,53,阿良良木历,,物语系列,神谷浩史,641,未晋级
男子12组,1,1,菜月昴,,Re:从零开始的异世界生活,小林裕介,2139,晋级
男子12组,2,5,漩涡鸣人,,火影忍者,竹内顺子,1405,晋级
男子12组,3,28,春日野悠,,缘之空,下野纮,928,未晋级
男子12组,4,36,东方仗助,,JoJo的奇妙冒险,,866,未晋级
男子12组,5,44,孙悟空,,龙珠,野泽雅子,804,未晋级
男子12组,6,50,森岛帆高,,天气之子,醍醐虎汰朗,699,未晋级
男子12组,7,55,绯村剑心,,浪客剑心,齐藤壮马,625,未晋级
男子12组,8,63,克拉福·罗伦斯,,狼与香辛料,福山润,439,未晋级
男子13组,1,12,艾伦·耶格尔,,进击的巨人,梶裕贵,1116,晋级
男子13组,2,13,齐木楠雄,,齐木楠雄的灾难,神谷浩史,1115,晋级
男子13组,3,14,宇智波鼬,,火影忍者,石川英郎,1101,未晋级
男子13组,4,19,卫宫,,Fate系列,诹访部顺一,1029,未晋级
男子13组,5,25,奇犽·揍敌客,,HUNTER×HUNTER,伊濑茉莉也,974,未晋级
男子13组,6,43,宇智波带土,,火影忍者,潘惠美,806,未晋级
男子13组,7,45,由崎星空,,总之就是非常可爱,榎木淳弥,792,未晋级
男子13组,8,61,夏亚·阿兹纳布尔,,机动战士高达,,468,未晋级
男子14组,1,4,虎杖悠仁,,咒术回战,榎木淳弥,1491,晋级
男子14组,2,7,佐藤和真,,为美好的世界献上祝福！,福岛润,1202,晋级
男子14组,3,8,旗木卡卡西,,火影忍者,井上和彦,1177,未晋级
男子14组,4,16,鲁路修·兰佩洛基,,Code Geass,福山润,1068,未晋级
男子14组,5,17,碇真嗣,,新世纪福音战士,绪方惠美,1064,未晋级
男子14组,6,33,江户川柯南,,名侦探柯南,高山南,888,未晋级
男子14组,7,46,我妻善逸,,鬼灭之刃,下野纮,761,未晋级
男子14组,8,56,中原中也,,文豪野犬,谷山纪章,615,未晋级
男子15组,1,15,卫宫士郎,,Fate系列,杉山纪彰,1085,晋级
男子15组,2,18,乔鲁诺·乔巴拿,,JoJo的奇妙冒险,小野贤章,1060,晋级
男子15组,3,21,劳埃德·福杰,,间谍过家家,江口拓也,1022,未晋级
男子15组,4,22,迪奥·布兰度,,JoJo的奇妙冒险,子安武人,1017,未晋级
男子15组,5,26,宫村伊澄,,堀与宫村,内山昂辉,960,未晋级
男子15组,6,42,黑崎一护,,BLEACH,森田成一,836,未晋级
男子15组,7,48,木下秀吉,,笨蛋、测验、召唤兽,加藤英美里,716,未晋级
男子15组,8,58,韦伯·维尔维特,,Fate系列,,554,未晋级
男子16组,1,3,坂田银时,,银魂,杉田智和,1492,晋级
男子16组,2,23,藤宫周,,关于我在无意间被隔壁的天使变成废柴这件事,坂泰斗,997,晋级
男子16组,3,34,绫小路清隆,,欢迎来到实力至上主义的教室,千叶翔也,879,未晋级
男子16组,4,37,伏黑惠,,咒术回战,内田雄马,865,未晋级
男子16组,5,38,西片,,擅长捉弄的高木同学,梶裕贵,855,未晋级
男子16组,6,40,李小狼,,魔卡少女樱,熊井统子,853,未晋级
男子16组,7,57,高仓健,,胆大党,花江夏树,558,未晋级
男子16组,8,62,拉法尔,,地。-关于地球的运动-,坂本真绫,450,未晋级
